LA (name),School Name,Street,Postcode,Website,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,GOR (name),DistrictAdministrative (name),Designated Safeguarding Lead / Safeguarding lead / DSL,PSHE Lead / PSHE Teacher,Head of Pastoral Care / Pastoral Lead,Mental Health Lead / School Counsellor / Wellbeing Lead,Safeguarding Officer / Child Protection Officer,Deputy Headteacher / Assistant Headteacher (pastoral / safeguarding remit),Headteacher / Principal,Head of Year,Head of School
,Holte School,,,https://frog.holte.bham.sch.uk/app/os#!welcome/home,,,,,,,,,,,,,,,
,St Patrick's RC High School,,,www.stpatricksrchigh.co.uk,,,,,,,,,,,,,,,
,"St Thomas More Catholic School, Willenhall",,,http://www.st-thomasmore.walsall.sch.uk/,,,,,,,,,,,,,,,
,Sandy Secondary School,,,https://www.sandysecondaryschool.com/,,,,,,,,,,,,,,,
,Thornleigh Salesian College,,,http://www.thornleigh.bolton.sch.uk,,,,,,,,,,,,,,,
,Millom School,,,http://www.millom.cumbria.sch.uk/,,,,,,,,,,,,,,,
,New Mills School,,,http://www.newmillsschool.co.uk/,,,,,,,,,,,,,,,
,"St Edward's Roman Catholic/Church of England School, Poole",,,http://website.network.st-edwards.poole.sch.uk/,,,,,,,,,,,,,,,
,Hove Park School and Sixth Form Centre,,,http://www.hovepark.brighton-hove.sch.uk/,,,,,,,,,,,,,,,
,Saint Pius X Catholic High School A Specialist School in Humanities,,,http://www.saintpiusx.school/,,,,,,,,,,,,,,,
,Selly Park Girls' School,,,www.sellyparkgirls.org,,,,,,,,,,,,,,,
,Lostock High School,,,www.lostock.trafford.sch.uk,,,,,,,,,,,,,,,
,Belmont Community School,,,http://www.belmontschool.org.uk,,,,,,,,,,,,,,,
,Hornsea School and Language College,,,http://www.hslc.co.uk/,,,,,,,sullivank@hslc.co.uk,,pastoral@hslc.co.uk,,,,office@hslc.co.uk,,
,The Derby High School,,,https://thederbyhighschool.co.uk/,,,,,,,,,,,,,,,
,"Mount Carmel Roman Catholic High School, Hyndburn",,,http://www.mountcarmelhigh.lancs.sch.uk/,,,,,,,,,,,,,,,
,The Avon Valley School and Performing Arts College,,,http://www.avonvalleyschool.org/,,,,,,,,,,,,,,,
,Cardinal Newman Catholic High School,,,http://www.cardinal-newman.org.uk,,,,,,,,,,,,,,,
,Sackville School,,,http://www.sackville.w-sussex.sch.uk/,,,,,,,,,,,,,,,
,"Holy Trinity CofE Secondary School, Crawley",,,http://www.holytrinity.w-sussex.sch.uk/,,,,,,,,,,,,,,,
,Cowley International College,,,http://www.cowley.st-helens.sch.uk/,,,,,,,,,,,,,,,
,Madani Girls' School,,,https://madani.school,,,,,,,,,,,,,,,
,Haslingden High School and Sixth Form,,,http://www.haslingdenhigh.com/,,,,,,,,,,,,,,,
,All Hallows RC High School,,,http://www.allhallowssalford.com/,,,,,,,studentservices@allhallowsrc.co.uk,,,,,,,,
,Bristol Brunel Academy,,,http://www.bba.bristol.sch.uk/,,,,,,,,,,,,,,,
,John Cabot Academy,,,http://www.cabot.ac.uk/,,,,,,,,,,,,,,,
,Pendle Vale College,,,http://www.pendlevale.lancs.sch.uk/,,,,,,,,,,,,,,,
,James Calvert Spence College,,,www.jcsc.co.uk,,,,,,,,,,,,,enquiries@jcsc.co.uk,,
,Sir Geoffrey Leigh Academy,,,http://www.sirgeoffreyleighacademy.org.uk/,,,,,,,,,,,,,,,
,St John Fisher Catholic High School,,,sjfhs.co.uk,,,,,,,,,,,,,,,
,Bristol Cathedral Choir School,,,http://bccs.bristol.sch.uk/,,,,,,,,,,,,,,,
,Great Academy Ashton,,,www.gaa.org.uk,,,,,,,,,,,,,,,
,St Edmund's Catholic School,,,http://www.saintedmunds.org.uk,,,,,,,,,,,,,,,
,Northgate High School,,,http://www.northgate.suffolk.sch.uk/,,,,,,,,,,,,,,,
,Gospel Oak School,,,https://gospeloakschool.co.uk/,,,,,,,,,,,,,,,
,West Lakes Academy,,,https://wla.education,,,,,,,,,,,,,,,
,The Priory Academy LSST,,,www.prioryacademies.co.uk,,,,,,,,,,,,,,,
,The Steiner Academy Hereford,,,http://www.steineracademyhereford.org.uk,,,,,,,,,,,,,,,
,New Rickstones Academy,,,www.newrickstonesacademy.org,,,,,,,,,,,,,,,
,Essa Academy,,,https://esa.northerneducationtrust.org/,,,,,,,,,,,,,,,
,The Milton Keynes Academy,,,http://www.miltonkeynesacademy.org.uk/,,,,,,,"MKA-Safeguarding@miltonkeynesacademy.org.uk, Emma.Ruffles@miltonkeynesacademy.org.uk",,,,,,Gordon.Farquhar@miltonkeynesacademy.org.uk,,
,Red House Academy,,,https://rha.northerneducationtrust.org/,,,,,,,,,,,,,,,
,E-ACT Heartlands Academy,,,https://heartlandsacademy.e-act.org.uk,,,,,,,,,,,,,,,
,E-ACT Shenley Academy,,,https://shenleyacademy.e-act.org.uk/,,,,,,,,,,,,,,,
,E-Act Parkwood Academy,,,https://parkwoodacademy.e-act.org.uk/,,,,,,,,,,,,,,,
,Haberdashers' Abraham Darby,,,http://www.haberdashersabrahamdarby.co.uk/,,,,,,,,,,,,,,,
,Castle View Enterprise Academy,,,http://www.castleviewenterpriseacademy.co.uk/,,,,,,,,,,,,,,,
,Leeds West Academy,,,www.leedswestacademy.org.uk,,,,,,,,,,,,,,,
,Bristol Metropolitan Academy,,,www.bristolmet.net,,,,,,,,,,,,,,,
,All Saints Academy Dunstable,,,http://www.allsaintsacademydunstable.org/,,,,,,,,,,,,,,,
,Unity City Academy,,,https://sites.google.com/aetinet.org/unity-city-academy/home,,,,,,,,,,,,,,,
,E-ACT Crest Academy,,,https://crestacademy.e-act.org.uk/,,,,,,,,,,,,,,,
,E-ACT North Birmingham Academy,,,https://northbirminghamacademy.e-act.org.uk/,,,,,,,,,,,,,,,
,Outwood Grange Academy,,,http://www.grange.outwood.com/,,,,,,,,,,,,,,,
,Trinity Academy Halifax,,,https://halifax.trinitymat.org,,,,,,,,,,,,,,,
,E-ACT the Oldham Academy North,,,http://theoldhamacademynorth.e-act.org.uk,,,,,,,,,,,,,,,
,Outwood Academy Adwick,,,http://www.adwick.outwood.com/,,,,,,,,,,,,,,,
,The Academy of St Nicholas,,,http://www.theacademyofstnicholas.org.uk,,,,,,,,,,,,,,,
,Clacton Coastal Academy,,,http://clactoncoastalacademy.org/,,,,,,,,,,,,,,,
,Swanmore College,,,http://swanmore-school.co.uk/,,,,,,,,,,,,,,,
,Kearsley Academy,,,http://www.ka.northerneducationtrust.org/,,,,,,,,,,,,,,,
,North Shore Academy,,,https://nsa.northerneducationtrust.org/,,,,,,,,,,,,,,,
,Sidney Stringer Academy,,,http://www.sidneystringeracademy.org.uk/,,,,,,,,,,,,,,,
,Co-op Academy Stoke-On-Trent,,,stokeontrent.coopacademies.co.uk,,,,,,,,,,,,,gmgovernance@coopacademies.co.uk,,
,Aylward Academy,,,www.aylwardacademy.org,,,,,,,,,,,,,,,
,Healing Academy,,,https://hsa.harbourlearningtrust.com/,,,,,,,,,,,,,,,
,Gosforth Academy,,,www.ga.newcastle.sch.uk,,,,,,,,,,,,,,,
,Norton Hill Academy,,,http://www.nortonhillschool.com,,,,,,,,,,,,,,,
,Bodmin College,,,http://www.bodmincollege.co.uk,,,,,,,,,,,,,,,
,St Aidan's Church of England Academy,,,http://staidansacademy.co.uk/,,,,,,,,,,,,,,,
,Grace Academy Darlaston,,,https://darlaston.graceacademy.org.uk/,,,,,,,,,,,,,,,
,Leigh Academy Tonbridge,,,http://leighacademytonbridge.org.uk,,,,,,,,,,,,,,,
,Outwood Academy City Fields,,,www.cityfields.outwood.com,,,,,,,,,,,,,,,
,Ossett Academy and Sixth Form College,,,https://ossett.accordmat.org/,,,,,,,,,,,,,,,
,The Hastings Academy,,,http://www.thehastingsacademy.org/,,,,,,,,,,,,,,,
,Ipswich Academy,,,http://ipswichacademy.paradigmtrust.org,,,,,,,,,,,,,,,
,The Thetford Academy,,,https://www.thethetfordacademy.org,,,,,,,,,,,,,,,
,Penair School,,,http://www.penair.cornwall.sch.uk,,,,,,,,,,,,,,,
,King Edward VI Lordswood School for Girls,,,https://lsg.kevibham.org,,,,,,,,,,,,,,,
,The Coopers' Company and Coborn School,,,http://www.cooperscoborn.org.uk/,,,,,,,,,,,,,,,
,Ashcroft Technology Academy,,,http://www.atacademy.org.uk/,,,,,,,,,,,,,,,
,Furness Academy,,,http://www.furnessacademy.co.uk/,,,,,,,,,,,,,,,
,Westcliff High School for Girls,,,http://www.whsg.info,,,,,,,,,,,,,,,
,Discovery Academy,,,http://www.thediscoveryacademy.co.uk/,,,,,,,,,,,,,,,
,The Long Eaton School,,,http://www.longeaton.derbyshire.sch.uk/,,,,,,,,,,,,,,,
,Queen Elizabeth Grammar School Penrith,,,http://www.qegs.cumbria.sch.uk,,,,,,,,,,,,,,,
,Lancaster Girls' Grammar School,,,http://www.lggs.org.uk,,,,,,,,,,,,,,,
,St Joseph's College,,,http://stjosephstrentvale.com/,,,,,,,,,,,,,,,
,Congleton High School,,,tlptrust.com,,,,,,,,,,,,,,,
,Ryde Academy,,,www.rydeacademy.org,,,,,,,,,,,,,,,
,Kings Norton Girls' School,,,http://www.kngs.co.uk/,,,,,,,,,,,,,,,
,Skipton Girls' High School,,,http://www.sghs.org.uk,,,,,,,,,,,,,,,
,Stour Valley Community School,,,http://www.stourvalleycommunityschool.org/,,,,,,,,,,,safe@stourvalley.org,,,itsupport@stourvalley.org,
,Norton College,,,https://www.nortoncollege-rlt.co.uk,,,,,,,,,,,,,,,
,Abbs Cross Academy and Arts College,,,http://www.abbscross.net,,,,,,,,,,,,,,,
,Leeds East Academy,,,http://www.leedseastacademy.org.uk/,,,,,,,,,,,,,,,
,The Oldershaw School,,,http://www.oldershaw.wirral.sch.uk/,,,,,,,,,,,,,,,
,Landau Forte College,,,http://www.landau-forte.org.uk/,,,,,,,,,,,,,,,
,Droitwich Spa High School and Sixth Form Centre,,,www.droitwichspahigh.worcs.sch.uk,,,,,,,,,,,,,,,
,The Holt School,,,http://www.holtschool.co.uk,,,,,,,,,,,,,,,
,Roundwood Park School,,,http://www.roundwoodpark.co.uk/,,,,,,,,,,,,,,,
,The Coleshill School,,,https://coleshill.warwickshire.sch.uk/,,,,,,,,,,,,,,,
,Alderbrook School,,,http://www.alderbrook.solihull.sch.uk/,,,,,,,,,,,,,,,
,King James I Academy Bishop Auckland,,,http://www.kingjames1academy.com/,,,,,,,,,,,,,,,
,Outwood Academy Foxhills,,,http://www.foxhills.outwood.com,,,,,,,,,,,,,,,
,King Edward VI Handsworth School,,,http://www.kingedwardvi.bham.sch.uk/,,,,,,,,,,,,,,,
,Thomas Knyvett College,,,http://thomasknyvett.org/,,,,,,,,,,,,,,,
,St Wilfrid's Church of England Academy,,,www.saintwilfrids.co.uk,,,,,,,,,,,,,,,
,Barr Beacon School,,,http://www.barrbeaconschool.co.uk/,,,,,,,,,,,,,,,
,Kingstone High School,,,http://www.kingstoneacademytrust.co.uk,,,,,,,,,,,,,,,DPO@wearehy.com
,Longdean School,,,http://www.longdean.herts.sch.uk,,,,,,,,,,,,,,,
,Lostock Hall Academy,,,http://www.lostockhallacademy.org/,,,,,,,,,,,,,,,
,Noadswood School,,,http://www.noadswood.hants.sch.uk/,,,,,,,,,,,,,,,
,Serlby Park Academy,,,www.serlbyparkacademy.org.uk,,,,,,,,,,,,,,,
,E-Act Ousedale School,,,http://www.ousedale.org.uk,,,,,,,,,,,,,,,
,Rooks Heath School,,,https://www.rooksheath.harrow.sch.uk/,,,,,,,,,,,,,,,
,West Coventry Academy,,,http://www.westcoventryacademy.org,,,,,,,,,,,,,,,
,Wilmington Grammar School for Boys,,,http://www.wgsb.co.uk,,,,,,,,,,,,,,,
,St Peter's Catholic High School and Sixth Form Centre,,,http://www.stpetershighschool.org.uk/,,,,,,,,,,,,,,,
,The Sandon School,,,http://www.sandon.essex.sch.uk/,,,,,,,,,,,,,,sixthform@sandon.essex.sch.uk,
,Wilmington Grammar School for Girls,,,http://www.gsgw.org.uk/,,,,,,,,,,,,,,,
,"Shelley College, A Share Academy",,,http://home.shelleycollege.org/,,,,,,,,,,,,,,,
,The Campion School,,,http://www.thecampionschool.org.uk,,,,,,,,,,,,,,,
,Glenthorne High School,,,http://www.glenthorne.sutton.sch.uk/,,,,,,,,,,,,,,,
,Ash Hill Academy,,,http://www.ashhillacademy.org.uk/,,,,,,,,,,,,,,,
,Staffordshire University Academy,,,http://www.suacademy.co.uk/,,,,,,,,,,,,,,,
,Pegasus Academy,,,http://www.pegasusacademy.org.uk/,,,,,,,sgriffiths@pegasusacademy.org.uk,,,,,,office@pegasusacademy.org.uk,,
,The Becket School,,,http://www.becketonline.co.uk,,,,,,,,,,,,,,,
,Casterton College Rutland,,,http://castertoncollege.com/,,,,,,,,,,,,,,,
,Rastrick High School,,,http://www.rastrick.polarismat.org.uk,,,,,,,,,,,,,,,
,The Corbet School,,,www.corbetschool.net,,,,,,,,corbetpshe@corbetschool.net,pastoral@corbetschool.net,,,,head@corbetschool.net,,
,Outwood Academy Ripon,,,http://www.ripon.outwood.com/,,,,,,,,,,,,,,,
,Wootton Upper School,,,www.wootton.beds.sch.uk,,,,,,,,,,,,,,,
,Trinity School,,,http://trinity.cumbria.sch.uk/,,,,,,,,,,,,,,,
,Haberdashers' Adams,,,http://www.adamsgs.uk,,,,,,,,,,,,,,,
,Lincoln Christ's Hospital School,,,http://www.christs-hospital.lincs.sch.uk,,,,,,,,,,,,,,,
,Lady Hawkins' School,,,http://www.lhs.hereford.sch.uk,,,,,,,,,"lhspastoral@lhs.hereford.sch.uk, pastoral@lhs.hereford.sch.uk",,,,abrace@lhs.hereford.sch.uk,,
,The Farnley Academy,,,www.farnley.leeds.sch.uk,,,,,,,,,,,,,,,
,Oldbury Academy,,,http://oldburyacademy.co.uk/,,,,,,,,,,,,,,,
,Willenhall E-ACT Academy,,,https://willenhallacademy.e-act.org.uk/,,,,,,,,,,,,,,,
,The Streetly Academy,,,www.thestreetlyacademy.co.uk,,,,,,,,,,,,,,,
,The King Edward VI School,,,http://www.kevi.info,,,,,,,,,,,,,,,
,Bloxwich Academy,,,www.bloxwichacademy.co.uk,,,,,,,,,,,,,,,
